StockCode,Description,Total_Units,Calculated_Velocity
23168,CLASSIC SUGAR DISPENSER,2549,0.5969555035128805
22027,TEA PARTY BIRTHDAY CARD,2545,0.5960187353629977
21830,ASSORTED CREEPY CRAWLIES,2527,0.5918032786885246
22507,MEMO BOARD RETROSPOT  DESIGN,2526,0.5915690866510539
22569,FELTCRAFT CUSHION BUTTERFLY,2516,0.5892271662763466
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,0.5892271662763466
22174,PHOTO CUBE,2514,0.5887587822014052
20973,12 PENCIL SMALL TUBE WOODLAND,2510,0.5878220140515222
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2499,0.5852459016393443
70006,LOVE HEART POCKET WARMER,2499,0.5852459016393443
22348,TEA BAG PLATE RED RETROSPOT,2494,0.5840749414519907
22296,HEART IVORY TRELLIS LARGE,2487,0.5824355971896955
22663,JUMBO BAG DOLLY GIRL DESIGN,2485,0.5819672131147541
21874,GIN AND TONIC MUG,2485,0.5819672131147541
21754,HOME BUILDING BLOCK WORD,2483,0.5814988290398126
21621,VINTAGE UNION JACK BUNTING,2481,0.5810304449648712
21900,"KEY FOB , SHED",2480,0.5807962529274004
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,2477,0.5800936768149882
22804,CANDLEHOLDER PINK HANGING HEART,2477,0.5800936768149882
23175,REGENCY MILK JUG PINK ,2473,0.5791569086651054
22563,HAPPY STENCIL CRAFT,2470,0.5784543325526932
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2466,0.5775175644028103
22855,FINE WICKER HEART ,2458,0.5756440281030445
22997,TRAVEL CARD WALLET UNION JACK,2452,0.5742388758782201
22557,PLASTERS IN TIN VINTAGE PAISLEY ,2446,0.5728337236533958
22158,3 HEARTS HANGING DECORATION RUSTIC,2429,0.5688524590163935
22150,3 STRIPEY MICE FELTCRAFT,2412,0.5648711943793912
23326,HANGING MINI COLOURED BOTTLES,2409,0.564168618266979
22553,PLASTERS IN TIN SKULLS,2401,0.5622950819672131
23240,SET OF 4 KNICK KNACK TINS DOILEY ,2389,0.5594847775175644
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2384,0.5583138173302108
23350,ROLL WRAP VINTAGE SPOT ,2384,0.5583138173302108
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,2381,0.5576112412177986
21642,ASSORTED TUTTI FRUTTI PEN,2379,0.5571428571428572
21507,"ELEPHANT, BIRTHDAY CARD, ",2378,0.5569086651053864
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,2370,0.5550351288056206
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2357,0.5519906323185012
17021,NAMASTE SWAGAT INCENSE,2355,0.5515222482435597
22730,ALARM CLOCK BAKELIKE IVORY,2348,0.5498829039812646
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2348,0.5498829039812646
22597,CHRISTMAS MUSICAL ZINC HEART ,2338,0.5475409836065573
22714,CARD BIRTHDAY COWBOY,2335,0.5468384074941453
20677,PINK POLKADOT BOWL,2331,0.5459016393442623
21746,SMALL RED RETROSPOT WINDMILL,2326,0.5447306791569086
23174,REGENCY SUGAR BOWL GREEN,2321,0.543559718969555
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2319,0.5430913348946136
22460,EMBOSSED GLASS TEALIGHT HOLDER,2308,0.5405152224824356
85212,MINI PAINTED GARDEN DECORATION ,2307,0.5402810304449649
21819,GLITTER CHRISTMAS STAR ,2304,0.5395784543325527
22153,ANGEL DECORATION STARS ON DRESS,2303,0.5393442622950819
15056BL,EDWARDIAN PARASOL BLACK,2296,0.5377049180327869
23165,LARGE CERAMIC TOP STORAGE JAR,2289,0.5360655737704918
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2288,0.535831381733021
21984,PACK OF 12 PINK PAISLEY TISSUES ,2286,0.5353629976580796
21868,POTTING SHED TEA MUG,2284,0.5348946135831382
21833,CAMOUFLAGE LED TORCH,2280,0.5339578454332553
22711,WRAP CIRCUS PARADE,2277,0.5332552693208431
21395,BLUE POLKADOT BEAKER ,2266,0.5306791569086651
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2265,0.5304449648711944
22295,HEART FILIGREE DOVE LARGE,2263,0.529976580796253
22792,FLUTED ANTIQUE CANDLE HOLDER,2263,0.529976580796253
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2262,0.5297423887587822
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2260,0.5292740046838408
23320,GIANT 50'S CHRISTMAS CRACKER,2252,0.527400468384075
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,2247,0.5262295081967213
22419,LIPSTICK PEN RED,2247,0.5262295081967213
23294,SET OF 6 SNACK LOAF BAKING CASES,2245,0.5257611241217799
10133,COLOURING PENCILS BROWN TUBE,2243,0.5252927400468385
16235,RECYCLED PENCIL WITH RABBIT ERASER,2239,0.5243559718969555
23497,CLASSIC CHROME BICYCLE BELL ,2234,0.5231850117096019
22491,PACK OF 12 COLOURED PENCILS,2230,0.522248243559719
22493,PAINT YOUR OWN CANVAS SET,2226,0.521311475409836
21238,RED RETROSPOT CUP,2220,0.5199063231850117
22573,STAR WOODEN CHRISTMAS DECORATION,2209,0.5173302107728337
22971,QUEENS GUARD COFFEE MUG,2200,0.5152224824355972
22530,MAGIC DRAWING SLATE DOLLY GIRL ,2199,0.5149882903981264
22962,JAM JAR WITH PINK LID,2198,0.5147540983606558
85049E,SCANDINAVIAN REDS RIBBONS,2190,0.5128805620608899
21240,BLUE POLKADOT CUP,2187,0.5121779859484777
22614,PACK OF 12 SPACEBOY TISSUES,2186,0.511943793911007
23356,LOVE HOT WATER BOTTLE,2185,0.5117096018735363
22028,PENNY FARTHING BIRTHDAY CARD,2183,0.5112412177985949
23173,REGENCY TEAPOT ROSES ,2183,0.5112412177985949
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,2182,0.5110070257611241
23340,VINTAGE CHRISTMAS CAKE FRILL,2177,0.5098360655737705
21154,RED RETROSPOT OVEN GLOVE ,2175,0.509367681498829
22708,WRAP DOLLY GIRL,2175,0.509367681498829
22712,CARD DOLLY GIRL ,2171,0.5084309133489462
21535,RED RETROSPOT SMALL MILK JUG,2166,0.5072599531615926
22554,PLASTERS IN TIN WOODLAND ANIMALS,2163,0.5065573770491804
22155,STAR DECORATION RUSTIC,2153,0.5042154566744731
22367,CHILDRENS APRON SPACEBOY DESIGN,2153,0.5042154566744731
21155,RED RETROSPOT PEG BAG,2152,0.5039812646370023
22995,TRAVEL CARD WALLET SUKI,2152,0.5039812646370023
51014C,"FEATHER PEN,COAL BLACK",2150,0.5035128805620609
23507,MINI PLAYING CARDS BUFFALO BILL ,2138,0.5007025761124122
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2136,0.5002341920374708
23109,LED TEA LIGHTS,2136,0.5002341920374708
22716,CARD CIRCUS PARADE,2127,0.49812646370023417
20983,12 PENCILS TALL TUBE RED RETROSPOT,2123,0.4971896955503513
47566B,TEA TIME PARTY BUNTING,2115,0.4953161592505855
21156,RETROSPOT CHILDRENS APRON,2110,0.49414519906323184
23334,IVORY WICKER HEART SMALL,2097,0.49110070257611244
21907,I'M ON HOLIDAY METAL SIGN,2095,0.49063231850117095
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2086,0.4885245901639344
23374,RED SPOT PAPER GIFT BAG,2083,0.48782201405152226
23089,GLASS BON BON JAR,2081,0.48735362997658077
23090,VINTAGE GLASS T-LIGHT HOLDER,2069,0.4845433255269321
22082,RIBBON REEL STRIPES DESIGN ,2069,0.4845433255269321
22963,JAM JAR WITH GREEN LID,2061,0.4826697892271663
22945,CHRISTMAS METAL TAGS ASSORTED ,2059,0.4822014051522248
21650,ASSORTED TUTTI FRUTTI BRACELET,2053,0.48079625292740047
22915,ASSORTED BOTTLE TOP  MAGNETS ,2040,0.477751756440281
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,2030,0.47540983606557374
47599A,PINK PARTY BAGS,2030,0.47540983606557374
23367,SET 12 COLOUR PENCILS SPACEBOY ,2021,0.47330210772833725
23198,PANTRY MAGNETIC  SHOPPING LIST,2018,0.47259953161592505
84832,ZINC WILLIE WINKIE  CANDLE STICK,2006,0.46978922716627636
22637,PIGGY BANK RETROSPOT ,2001,0.4686182669789227
23311,VINTAGE CHRISTMAS STOCKING ,2001,0.4686182669789227
21899,"KEY FOB , GARAGE DESIGN",1997,0.4676814988290398
21592,RETROSPOT CIGAR BOX MATCHES ,1991,0.46627634660421546
82486,WOOD S/3 CABINET ANT WHITE FINISH,1989,0.465807962529274
23002,TRAVEL CARD WALLET SKULLS,1980,0.4637002341920375
85199S,SMALL HANGING IVORY/RED WOOD BIRD,1977,0.4629976580796253
22938,CUPCAKE LACE PAPER SET 6,1973,0.46206088992974237
23297,SET 40 HEART SHAPE PETIT FOUR CASES,1971,0.46159250585480094
22556,PLASTERS IN TIN CIRCUS PARADE ,1964,0.4599531615925059
20675,BLUE POLKADOT BOWL,1962,0.4594847775175644
23187,FRENCH STYLE STORAGE JAR BONBONS,1960,0.45901639344262296
23082,SET 6 PAPER TABLE LANTERN HEARTS ,1955,0.45784543325526933
21875,KINGS CHOICE MUG,1952,0.45714285714285713
22301,COFFEE MUG CAT + BIRD DESIGN,1942,0.45480093676814987
48188,DOORMAT WELCOME PUPPIES,1926,0.45105386416861826
21078,SET/20 STRAWBERRY PAPER NAPKINS ,1919,0.4494145199063232
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,1919,0.4494145199063232
20982,12 PENCILS TALL TUBE SKULLS,1918,0.4491803278688525
22303,COFFEE MUG APPLES DESIGN,1918,0.4491803278688525
23177,TREASURE ISLAND BOOK BOX,1914,0.44824355971896956
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1913,0.44800936768149885
23333,IVORY WICKER HEART MEDIUM,1911,0.44754098360655736
17091J,VANILLA INCENSE IN TIN,1910,0.44730679156908665
22574,HEART WOODEN CHRISTMAS DECORATION,1908,0.4468384074941452
22729,ALARM CLOCK BAKELIKE ORANGE,1905,0.446135831381733
22978,PANTRY ROLLING PIN,1901,0.4451990632318501
37340,MULTICOLOUR SPRING FLOWER MUG,1898,0.44449648711943796
22227,HANGING HEART MIRROR DECORATION ,1897,0.44426229508196724
22066,LOVE HEART TRINKET POT,1896,0.44402810304449647
82578,KITCHEN METAL SIGN,1894,0.44355971896955504
22466,FAIRY TALE COTTAGE NIGHTLIGHT,1894,0.44355971896955504
21933,PINK VINTAGE PAISLEY PICNIC BAG,1893,0.4433255269320843
85061W,WHITE JEWELLED HEART DECORATION,1891,0.44285714285714284
21242,RED RETROSPOT PLATE ,1890,0.4426229508196721
21124,SET/10 BLUE POLKADOT PARTY CANDLES,1886,0.4416861826697892
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1882,0.44074941451990635
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,1875,0.43911007025761123
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1874,0.4388758782201405
23332,IVORY WICKER HEART LARGE,1873,0.4386416861826698
23210,WHITE ROCKING HORSE HAND PAINTED,1871,0.4381733021077283
22944,CHRISTMAS METAL POSTCARD WITH BELLS,1870,0.4379391100702576
22152,PLACE SETTING WHITE STAR,1870,0.4379391100702576
21069,VINTAGE BILLBOARD TEA MUG,1866,0.4370023419203747
22421,LIPSTICK PEN FUSCHIA,1864,0.43653395784543325
22156,HEART DECORATION WITH PEARLS ,1861,0.43583138173302105
22994,TRAVEL CARD WALLET RETROSPOT,1856,0.4346604215456675
22427,ENAMEL FLOWER JUG CREAM,1853,0.4339578454332553
21508,VINTAGE KID DOLLY CARD ,1853,0.4339578454332553
22549,PICTURE DOMINOES,1851,0.43348946135831384
22465,HANGING METAL STAR LANTERN,1849,0.43302107728337236
37370,RETRO COFFEE MUGS ASSORTED,1844,0.4318501170960187
47590B,PINK HAPPY BIRTHDAY BUNTING,1844,0.4318501170960187
22302,COFFEE MUG PEARS  DESIGN,1843,0.431615925058548
22908,PACK OF 20 NAPKINS RED APPLES,1842,0.4313817330210773
22091,EMPIRE TISSUE BOX,1841,0.4311475409836066
21399,BLUE POLKADOT COFFEE MUG,1837,0.43021077283372366
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,1836,0.42997658079625295
21504,SKULLS GREETING CARD,1836,0.42997658079625295
47504K,ENGLISH ROSE GARDEN SECATEURS,1835,0.4297423887587822
85015,SET OF 12  VINTAGE POSTCARD SET,1834,0.42950819672131146
23380,PACK OF 12 VINTAGE DOILY TISSUES,1834,0.42950819672131146
21481,FAWN BLUE HOT WATER BOTTLE,1826,0.4276346604215457
22196,SMALL HEART MEASURING SPOONS,1823,0.4269320843091335
21034,REX CASH+CARRY JUMBO SHOPPER,1822,0.42669789227166277
21755,LOVE BUILDING BLOCK WORD,1815,0.42505854800936765
23100,SILVER BELLS TABLE DECORATION,1814,0.42482435597189694
23145,ZINC T-LIGHT HOLDER STAR LARGE,1814,0.42482435597189694
22602,CHRISTMAS RETROSPOT HEART WOOD,1810,0.4238875878220141
84987,SET OF 36 TEATIME PAPER DOILIES,1804,0.4224824355971897
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1791,0.41943793911007027
23571,TRADITIONAL NAUGHTS & CROSSES,1790,0.41920374707259955
20979,36 PENCILS TUBE RED RETROSPOT,1788,0.41873536299765807
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,1786,0.41826697892271664
22098,BOUDOIR SQUARE TISSUE BOX,1785,0.4180327868852459
21749,LARGE RED RETROSPOT WINDMILL,1782,0.4173302107728337
22617,BAKING SET SPACEBOY DESIGN,1779,0.4166276346604215
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1778,0.4163934426229508
22984,CARD GINGHAM ROSE ,1778,0.4163934426229508
22436,12 COLOURED PARTY BALLOONS,1769,0.4142857142857143
48184,DOORMAT ENGLISH ROSE ,1768,0.41405152224824354
48173C,DOORMAT BLACK FLOCK ,1763,0.4128805620608899
22738,RIBBON REEL SNOWY VILLAGE,1761,0.4124121779859485
23436,GIFT BAG LARGE VINTAGE CHRISTMAS,1761,0.4124121779859485
23191,BUNDLE OF 3 RETRO NOTE BOOKS,1760,0.41217798594847777
21809,CHRISTMAS HANGING TREE WITH BELL,1760,0.41217798594847777
23399,HOME SWEET HOME HANGING HEART,1755,0.41100702576112413
22398,MAGNETS PACK OF 4 SWALLOWS,1755,0.41100702576112413
22667,RECIPE BOX RETROSPOT ,1753,0.41053864168618265
23035,DRAWER KNOB CERAMIC IVORY,1747,0.4091334894613583
23122,PARTY CHARMS 50 PIECES,1743,0.4081967213114754
22892,SET OF SALT AND PEPPER TOADSTOOLS,1729,0.40491803278688526
21845,DAIRY MAID STRIPE MUG,1726,0.40421545667447306
72818,CHRISTMAS DECOUPAGE CANDLE,1725,0.40398126463700235
23119,PACK OF 6 LARGE FRUIT STRAWS ,1723,0.4035128805620609
23437, 50'S CHRISTMAS GIFT BAG LARGE,1721,0.40304449648711943
22644,CERAMIC CHERRY CAKE MONEY BANK,1717,0.4021077283372365
21901,"KEY FOB , BACK DOOR ",1717,0.4021077283372365
22241,GARLAND WOODEN HAPPY EASTER,1714,0.40140515222482437
22499,WOODEN UNION JACK BUNTING,1713,0.40117096018735365
23506,MINI PLAYING CARDS SPACEBOY ,1712,0.4009367681498829
22435,SET OF 9 HEART SHAPED BALLOONS,1706,0.39953161592505854
22601,CHRISTMAS RETROSPOT ANGEL WOOD,1703,0.3988290398126464
21239,PINK  POLKADOT CUP,1700,0.3981264637002342
23366,SET 12 COLOURING PENCILS DOILY,1693,0.39648711943793913
21287,SCENTED VELVET LOUNGE CANDLE ,1692,0.39625292740046836
23330,DECORATIVE WICKER HEART MEDIUM,1689,0.3955503512880562
21380,WOODEN HAPPY BIRTHDAY GARLAND,1686,0.394847775175644
22571,ROCKING HORSE RED CHRISTMAS ,1685,0.3946135831381733
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,1684,0.3943793911007026
21983,PACK OF 12 BLUE PAISLEY TISSUES ,1683,0.39414519906323187
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1683,0.39414519906323187
22431,WATERING CAN BLUE ELEPHANT,1681,0.3936768149882904
23032,DRAWER KNOB CRACKLE GLAZE IVORY,1680,0.39344262295081966
22813,PACK 3 BOXES BIRD PANNETONE ,1677,0.3927400468384075
22046,TEA PARTY  WRAPPING PAPER ,1675,0.39227166276346603
22706,WRAP COWBOYS  ,1675,0.39227166276346603
79164,BLACK WINE GLASS,1666,0.3901639344262295
22439,6 ROCKET BALLOONS ,1666,0.3901639344262295
23570,TRADITIONAL PICK UP STICKS GAME ,1662,0.3892271662763466
23329,DECORATIVE WICKER HEART LARGE,1659,0.3885245901639344
23501,KEY RING BASEBALL BOOT UNION JACK,1659,0.3885245901639344
21976,PACK OF 60 MUSHROOM CAKE CASES,1658,0.3882903981264637
23147,SINGLE ANTIQUE ROSE HOOK IVORY,1658,0.3882903981264637
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1656,0.3878220140515222
22584,PACK OF 6 PANNETONE GIFT BOXES,1656,0.3878220140515222
22817,CARD SUKI BIRTHDAY,1654,0.3873536299765808
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,1649,0.38618266978922716
22537,MAGIC DRAWING SLATE DINOSAUR,1648,0.38594847775175645
21179,NO JUNK MAIL METAL SIGN,1647,0.38571428571428573
22567,20 DOLLY PEGS RETROSPOT,1647,0.38571428571428573
23266,SET OF 3 WOODEN STOCKING DECORATION,1647,0.38571428571428573
23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1642,0.3845433255269321
23438, RED SPOT GIFT BAG LARGE,1638,0.3836065573770492
22619,SET OF 6 SOLDIER SKITTLES,1638,0.3836065573770492
23510,MINI PLAYING CARDS GYMKHANA,1636,0.38313817330210775
10135,COLOURING PENCILS BROWN TUBE,1636,0.38313817330210775
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1634,0.38266978922716627
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1630,0.38173302107728335
84508A,CAMOUFLAGE DESIGN TEDDY,1630,0.38173302107728335
16011,ANIMAL STICKERS,1629,0.38149882903981264
85066,CREAM SWEETHEART MINI CHEST,1627,0.3810304449648712
23306,SET OF 36 DOILIES PANTRY DESIGN,1627,0.3810304449648712
23545,WRAP RED DOILEY,1625,0.3805620608899297
22094,RED RETROSPOT TISSUE BOX,1624,0.380327868852459
22548,HEADS AND TAILS SPORTING FUN,1623,0.3800936768149883
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,1617,0.37868852459016394
22268,EASTER DECORATION SITTING BUNNY,1607,0.3763466042154567
22593,CHRISTMAS GINGHAM STAR,1603,0.37540983606557377
22917,HERB MARKER ROSEMARY,1598,0.37423887587822013
23504,PLAYING CARDS JUBILEE UNION JACK,1598,0.37423887587822013
23552,BICYCLE PUNCTURE REPAIR KIT ,1598,0.37423887587822013
22093,MOTORING TISSUE BOX,1593,0.3730679156908665
23006,TRAVEL CARD WALLET FLOWER MEADOW,1593,0.3730679156908665
23154,SET OF 4 JAM JAR MAGNETS,1590,0.37236533957845436
21084,SET/6 COLLAGE PAPER CUPS,1587,0.37166276346604216
22916,HERB MARKER THYME,1587,0.37166276346604216
22336,DOVE DECORATION PAINTED ZINC ,1587,0.37166276346604216
22798,ANTIQUE GLASS DRESSING TABLE POT,1586,0.37142857142857144
23247,BISCUIT TIN 50'S CHRISTMAS,1584,0.37096018735362996
22668,PINK BABY BUNTING,1583,0.37072599531615924
84596G,SMALL CHOCOLATES PINK BOWL,1580,0.3700234192037471
47590A,BLUE HAPPY BIRTHDAY BUNTING,1578,0.3695550351288056
71053,WHITE METAL LANTERN,1575,0.36885245901639346
22989,SET 2 PANTRY DESIGN TEA TOWELS,1573,0.368384074941452
22815,CARD PSYCHEDELIC APPLES,1570,0.36768149882903983
23327,HANGING CLEAR MINI BOTTLE,1566,0.3667447306791569
51014L,"FEATHER PEN,LIGHT PINK",1564,0.36627634660421543
23508,MINI PLAYING CARDS DOLLY GIRL ,1561,0.3655737704918033
22694,WICKER STAR ,1560,0.36533957845433257
22980,PANTRY SCRUBBING BRUSH,1560,0.36533957845433257
23101,SILVER STARS TABLE DECORATION,1558,0.3648711943793911
84971S,SMALL HEART FLOWERS HOOK ,1558,0.3648711943793911
22148,EASTER CRAFT 4 CHICKS ,1553,0.36370023419203745
47559B,TEA TIME OVEN GLOVE,1550,0.3629976580796253
22095,LADS ONLY TISSUE BOX,1547,0.3622950819672131
23211,RED ROCKING HORSE HAND PAINTED,1544,0.36159250585480096
23108,SET OF 10 LED DOLLY LIGHTS,1542,0.3611241217798595
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1540,0.36065573770491804
23227,FILIGREE HEART BUTTERFLY WHITE ,1540,0.36065573770491804
23158,SET OF 5 LUCKY CAT MAGNETS ,1539,0.36042154566744733
23135,SMALL ZINC HEART WALL ORGANISER,1538,0.36018735362997656
15039,SANDALWOOD FAN,1537,0.35995316159250584
23083,SET 6 PAPER TABLE LANTERN STARS ,1527,0.3576112412177986
23445,ICE CREAM BUBBLES,1527,0.3576112412177986
23550,WRAP ALPHABET POSTER  ,1525,0.35714285714285715
21974,SET OF 36 PAISLEY FLOWER DOILIES,1519,0.3557377049180328
22918,HERB MARKER PARSLEY,1518,0.35550351288056203
79163,BLACK CHAMPAGNE GLASS,1517,0.3552693208430913
22535,MAGIC DRAWING SLATE BUNNIES ,1517,0.3552693208430913
22906,12 MESSAGE CARDS WITH ENVELOPES,1516,0.3550351288056206
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1515,0.3548009367681499
21844,RED RETROSPOT MUG,1501,0.3515222482435597
22670,FRENCH WC SIGN BLUE METAL,1501,0.3515222482435597
20981,12 PENCILS TALL TUBE WOODLAND,1500,0.351288056206089
23265,SET OF 3 WOODEN TREE DECORATIONS,1500,0.351288056206089
82001S,VINYL RECORD FRAME SILVER,1500,0.351288056206089
21873,IF YOU CAN'T STAND THE HEAT MUG,1499,0.3510538641686183
20749,ASSORTED COLOUR MINI CASES,1497,0.3505854800936768
23352,ROLL WRAP 50'S RED CHRISTMAS ,1495,0.35011709601873536
22690,DOORMAT HOME SWEET HOME BLUE ,1493,0.34964871194379393
23331,DECORATIVE WICKER HEART SMALL,1490,0.34894613583138173
23251,VINTAGE RED ENAMEL TRIM MUG ,1489,0.348711943793911
85204,HANGING WOOD AND FELT FLOWER,1487,0.34824355971896953
21035,SET/2 RED RETROSPOT TEA TOWELS ,1485,0.3477751756440281
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,1483,0.34730679156908667
23212,HEART WREATH DECORATION WITH BELL,1481,0.3468384074941452
22339,CHRISTMAS TREE PAINTED ZINC ,1475,0.34543325526932084
22941,CHRISTMAS LIGHTS 10 REINDEER,1470,0.3442622950819672
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,1470,0.3442622950819672
46000S,POLYESTER FILLER PAD 40x40cm,1467,0.34355971896955506
22819,"BIRTHDAY CARD, RETRO SPOT",1464,0.34285714285714286
21588,RETROSPOT GIANT TUBE MATCHES,1463,0.34262295081967215
23004,TRAVEL CARD WALLET PANTRY,1463,0.34262295081967215
35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,1462,0.34238875878220143
23157,SET OF 6 NATIVITY MAGNETS ,1461,0.34215456674473066
22115,METAL SIGN EMPIRE TEA,1458,0.3414519906323185
23498,CLASSIC BICYCLE CLIPS ,1455,0.3407494145199063
22508,DOORSTOP RETROSPOT HEART,1455,0.3407494145199063
23547,WRAP FLOWER SHOP  ,1450,0.3395784543325527
22075,6 RIBBONS ELEGANT CHRISTMAS ,1441,0.33747072599531613
21912,VINTAGE SNAKES & LADDERS,1440,0.3372365339578454
22919,HERB MARKER MINT,1436,0.3362997658079625
21422,PORCELAIN ROSE SMALL,1432,0.33536299765807964
21244,BLUE POLKADOT PLATE ,1431,0.33512880562060887
85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1428,0.3344262295081967
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,1428,0.3344262295081967
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1428,0.3344262295081967
22921,HERB MARKER CHIVES ,1426,0.3339578454332553
21294,ETCHED GLASS COASTER,1424,0.3334894613583138
22754,SMALL RED BABUSHKA NOTEBOOK ,1424,0.3334894613583138
22544,MINI JIGSAW SPACEBOY,1417,0.33185011709601875
22599,CHRISTMAS MUSICAL ZINC STAR,1417,0.33185011709601875
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1415,0.33138173302107726
22437,SET OF 9 BLACK SKULL BALLOONS,1415,0.33138173302107726
23551,PACK OF 12 PAISLEY PARK TISSUES ,1409,0.3299765807962529
22088,PAPER BUNTING COLOURED LACE,1407,0.3295081967213115
22904,CALENDAR PAPER CUT DESIGN,1406,0.32927400468384077
22750,FELTCRAFT PRINCESS LOLA DOLL,1405,0.32903981264637
22024,RAINY LADIES BIRTHDAY CARD,1404,0.3288056206088993
17038,PORCELAIN BUDAH INCENSE HOLDER,1401,0.32810304449648714
22079,RIBBON REEL HEARTS DESIGN ,1400,0.32786885245901637
22705,WRAP GREEN PEARS ,1400,0.32786885245901637
23193,BUFFALO BILL TREASURE BOOK BOX,1398,0.32740046838407494
22130,PARTY CONE CHRISTMAS DECORATION ,1397,0.3271662763466042
22097,SWALLOW SQUARE TISSUE BOX,1396,0.3269320843091335
22064,PINK DOUGHNUT TRINKET POT ,1396,0.3269320843091335
23365,SET 12 COLOUR PENCILS LOVE LONDON,1396,0.3269320843091335
21484,CHICK GREY HOT WATER BOTTLE,1394,0.326463700234192
22059,CERAMIC STRAWBERRY DESIGN MUG,1394,0.326463700234192
22456,NATURAL SLATE CHALKBOARD LARGE ,1392,0.3259953161592506
20717,STRAWBERRY SHOPPER BAG,1390,0.3255269320843091
21544,SKULLS  WATER TRANSFER TATTOOS ,1385,0.32435597189695553
21243,PINK  POLKADOT PLATE ,1385,0.32435597189695553
22752,SET 7 BABUSHKA NESTING BOXES,1383,0.32388758782201404
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,1383,0.32388758782201404
48116,DOORMAT MULTICOLOUR STRIPE,1382,0.32365339578454333
23323,WHITE WICKER STAR ,1380,0.3231850117096019
22718,CARD CAT AND TREE ,1380,0.3231850117096019
23500,KEY RING BASEBALL BOOT ASSORTED ,1380,0.3231850117096019
21403,BLUE EGG  SPOON,1379,0.32295081967213113
23271,CHRISTMAS TABLE CANDLE SILVER SPIKE,1379,0.32295081967213113
23381,PACK OF 12 VINTAGE LEAF TISSUES ,1378,0.3227166276346604
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1378,0.3227166276346604
37327,ASSTD MULTICOLOUR CIRCLES MUG,1374,0.3217798594847775
22732,3D VINTAGE CHRISTMAS STICKERS ,1374,0.3217798594847775
22725,ALARM CLOCK BAKELIKE CHOCOLATE,1371,0.32107728337236535
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,1370,0.32084309133489464
22026,BANQUET BIRTHDAY  CARD  ,1368,0.32037470725995315
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,1368,0.32037470725995315
22748,POPPY'S PLAYHOUSE KITCHEN,1367,0.32014051522248244
85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,1362,0.3189695550351288
21158,MOODY GIRL DOOR HANGER ,1360,0.3185011709601874
22594,CHRISTMAS GINGHAM TREE,1360,0.3185011709601874
22600,CHRISTMAS RETROSPOT STAR WOOD,1356,0.31756440281030446
84406B,CREAM CUPID HEARTS COAT HANGER,1354,0.31709601873536297
